Year,Visitors
1920,5000
1921,3000
1922,8000
1923,6000
1924,10000
1925,30000
1926,53000
1927,60540
1928,66450
1929,87600
1930,50000
1934,2500
1935,9900
1936,15000
1937,20000
1938,20422
1939,18000
1940,16892
1941,15506
1942,7855
1943,4988
1944,5129
1945,6395
1946,16811
1947,16610
1948,20468
1949,23665
1950,36220
1951,40637
1952,60466
1953,65165
1954,77600
1955,86600
1956,101200
1957,134300
1958,122700
1959,133900
1960,141000
1961,145100
1962,146300
1963,177000
1964,215900
1965,229700
1966,228400
1967,267800
1968,307100
1969,409000
1970,351800
1971,323300
1972,319084
1973,390800
1974,363800
1975,395100
1976,401000
1977,422500
1978,549112
1979,566486
1980,611317
1981,470598
1982,566807
1983,634688
1984,699292
1985,636711
1986,613651
1987,689933
1988,675397
1989,706191
1990,702328
1991,679034
1992,810059
1993,828267
1994,768685
1995,732813
1996,671643
1997,739410
1998,716160
1999,749014
2000,765195
2001,725874
2002,615045
2003,643697
2004,651464
2005,727208
2006,619983
2007,658477
2008,699137
2009,665234
2010,717614
2011,610045
2012,634286
2013,678261
2014,673572
2015,753446
2016,820426
2017,964760
