Year,Visitors
1964,88200
1965,98300
1966,110400
1967,111800
1968,128200
1969,141200
1970,146200
1971,176200
1972,165154
1973,172200
1974,225500
1975,275500
1976,370900
1977,224100
1978,187340
1979,167509
1980,181231
1981,179676
1982,144023
1983,123487
1984,120835
1985,121598
1986,119458
1987,104801
1988,135331
1989,159839
1990,168975
1991,115176
1992,80621
1993,58762
1994,62887
1995,71261
1996,71195
1997,96590
1998,90919
1999,67193
2000,53182
2001,45176
2002,42526
2003,42396
2004,41082
2005,38009
2006,43719
2007,43698
2008,53772
2009,53800
2010,55149
2011,53336
2012,20097
2013,14639
2014,19319
2015,42326
2016,53920
2017,55186
