Year,Visitors
1969,10900
1970,19100
1971,20700
1972,26745
1973,31200
1974,34200
1975,49600
1976,52900
1977,42600
1978,37353
1979,32803
1980,35692
1981,38139
1982,37581
1983,38549
1984,43498
1985,40320
1986,49500
1987,69640
1988,70857
1989,75536
1990,45652
1991,47605
1992,50138
1993,34748
1994,22095
1995,20738
1996,21451
1997,19146
1998,22917
1999,22064
2000,17713
2001,17017
2002,17243
2003,14001
2004,16316
2005,14522
2006,11153
2007,4377
2008,12433
2009,10529
2010,10775
2011,11121
2012,11611
2013,8154
2014,11181
2015,9327
2016,11159
2017,12256
