Year,Visitors
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1950,45731
1951,34648
1952,35926
1953,38209
1954,40000
1955,48100
1956,75900
1957,97900
1958,132300
1959,165700
1960,187700
1961,188400
1962,197200
1963,218700
1964,423600
1965,533100
1966,604400
1967,659700
1968,635400
1969,437300
1970,510500
1971,849300
1972,1250272
1973,1277900
1974,992500
1975,1076000
1976,1034300
1977,1249800
1978,1374477
1979,92481
1980,103452
1981,101620
1982,113385
1983,122540
1984,99400
1985,104312
1986,137008
1987,158260
1988,248188
1989,251399
1990,247823
1991,359168
1992,301452
1993,323987
1994,201516
1995,206039
1996,227104
1997,225851
1998,250285
1999,270671
2000,267718
2001,301067
2002,255215
2003,246150
2004,270969
2005,246780
2006,258804
2007,273289
2008,255492
2009,274642
2010,263370
2011,266717
2012,261139
2013,220960
2014,268946
2015,258668
2016,316122
2017,267209
