Year,Visitors
1979,1458778
1980,1601984
1981,1522942
1982,1508333
1983,1306178
1984,2005185
1985,2221661
1986,2230500
1987,1808232
1988,2555674
1989,2425305
1990,2404184
1991,2345348
1992,2070744
1993,1243057
1994,1306921
1995,1350829
1996,1051187
1997,982740
1998,892854
1999,950141
2000,1086104
2001,1281528
2002,1278407
2003,1198105
2004,1072829
2005,1054492
2006,1167558
2007,1025407
2008,1135577
2009,1069673
2010,1105252
2011,1229590
2012,1279814
2013,1328802
2014,1382906
2015,1532818
2016,1456553
2017,1188780
