Year,Visitors
1939,1000
1940,4584
1941,7005
1942,6925
1943,5004
1944,4091
1945,5812
1946,9418
1947,13598
1948,20481
1949,34079
1950,28026
1951,26923
1952,35925
1953,38433
1954,35100
1955,37900
1956,49300
1957,56200
1958,57000
1959,55300
1960,55800
1961,58900
1962,106900
1963,147200
1964,70100
1965,194100
1966,219900
1967,203300
1968,242900
1969,243100
1970,289200
1971,348400
1972,438469
1973,388400
1974,304800
1975,381200
1976,301200
1977,252600
1978,300150
1979,431799
1980,354337
1981,418262
1982,401480
1983,565898
1984,788510
1985,669983
1986,673861
1987,874589
1988,742673
1989,693272
1990,617428
1991,786942
1992,1079290
1993,542495
1994,623383
1995,693218
1996,600778
1997,688584
1998,802214
1999,762869
2000,796318
2001,748747
2002,759402
2003,649132
2004,782791
2005,676216
2006,761945
2007,843520
2008,856935
2009,723088
2010,806506
2011,737073
2012,756038
2013,426328
2014,403758
2015,264780
2016,371989
2017,373630
