Year,Visitors
1925,1000
1926,1577
1927,2034
1928,2779
1929,3357
1930,4812
1931,4232
1932,3844
1933,3563
1934,4342
1935,4649
1936,3974
1937,4414
1938,3113
1939,2518
1940,2494
1941,2965
1942,1139
1943,339
1944,298
1945,508
1946,1975
1947,2563
1948,2407
1949,2649
1950,2857
1951,2943
1952,3527
1953,5067
1954,5900
1955,6100
1956,7400
1957,8100
1958,9100
1959,9100
1960,10300
1961,10600
1962,9500
1963,9400
1964,9100
1965,10900
1966,11300
1967,11500
1968,14200
1969,21800
1970,27900
1971,31300
1972,36909
1973,36200
1974,32200
1975,31800
1976,40800
1977,40600
1978,31300
1979,26728
1980,21748
1981,20359
1982,32491
1983,35968
1984,28395
1985,29643
1986,30619
1987,35093
1988,34114
1989,38723
1990,36313
1991,41171
1992,46707
1993,50283
1994,51391
1995,53950
1996,44913
1997,41710
1998,39464
1999,39962
2000,34842
2001,34568
2002,35670
2003,33827
2004,34216
2005,34810
2006,32996
2007,33060
2008,31248
2009,37848
2010,32941
2011,29786
2012,29228
2013,24836
2014,30537
2015,29672
2016,32414
2017,35148
