Year,Visitors
1941,76563
1942,11816
1943,5107
1944,6609
1945,13493
1946,44576
1947,47877
1948,63453
1949,74385
1950,78012
1951,60042
1952,65870
1953,67241
1954,74300
1955,77300
1956,72200
1957,78700
1958,58200
1959,66600
1960,60100
1961,63300
1962,80200
1963,97100
1964,113400
1965,112000
1966,120300
1967,140900
1968,169500
1969,170900
1970,185800
1971,182900
1972,180221
1973,161400
1974,113600
1975,179500
1976,159500
1977,102600
1978,131079
1979,97241
1980,97910
1981,109018
1982,121867
1983,123519
1984,119870
1985,116922
1986,189774
1987,128776
1988,129361
1989,149280
1990,163910
1991,169919
1992,154661
1993,174913
1994,200210
1995,177278
1996,137366
1997,138405
1998,170227
1999,158602
2000,163914
2001,154897
2002,142812
2003,106862
2004,114007
2005,98394
2006,99581
2007,106708
2008,88834
2009,89366
2010,63719
2011,65043
2012,57688
2013,54364
2014,58773
2015,65010
2016,102808
2017,97781
