Year,Visitors
1920,5000
1921,6000
1922,6000
1923,20000
1924,35000
1925,24000
1926,27000
1927,30000
1928,37500
1929,42500
1930,48500
1931,48000
1932,45000
1933,49500
1934,30000
1936,51038
1937,55921
1938,96450
1939,82305
1940,108536
1941,73955
1942,39631
1943,34110
1944,25982
1945,33490
1946,56367
1947,48900
1948,50220
1949,57069
1950,60344
1951,56542
1952,47110
1953,50706
1954,57700
1955,54900
1956,73700
1957,79200
1958,82200
1959,95800
1960,91500
1961,92300
1962,96300
1963,99900
1964,89700
1965,106500
1966,107500
1967,124100
1968,133800
1969,125000
1970,130000
1971,127700
1972,140295
1973,157000
1974,166900
1975,174300
1976,213300
1977,204000
1978,217522
1979,173291
1980,109520
1981,150183
1982,170175
1983,151984
1984,153448
1985,168616
1986,170708
1987,161896
1988,147408
1989,164050
1990,171788
1991,186813
1992,152710
1993,156056
1994,141820
1995,127385
1996,132166
1997,141613
1998,141606
1999,141453
2000,119404
2001,113135
2002,111293
2003,105611
2004,107715
2005,99567
2006,98352
2007,111890
2008,111849
2009,121391
2010,133795
2011,128811
2012,122515
2013,108127
2014,119159
2015,131122
2016,130085
2017,152560
