Year,Visitors
1936,694098
1937,1041204
1938,954967
1939,911612
1940,950807
1941,1071199
1942,138098
1943,41831
1944,137831
1945,542718
1946,709789
1947,858630
1948,932068
1949,1157946
1950,1279387
1951,1412499
1952,1494647
1953,1673346
1954,1659600
1955,1543400
1956,1623500
1957,1655500
1958,1655300
1959,1786700
1960,1780100
1961,1929300
1962,2049400
1963,2237800
1964,2276200
1965,2289400
1966,2349100
1967,2133100
1968,2273200
1969,2400900
1970,2411500
1971,2140600
1972,2038224
1973,2308400
1974,1949400
1975,2420600
1976,2448600
1977,2789100
1978,2002205
1979,1521451
1980,1699228
1981,1819546
1982,1751972
1983,1768378
1984,1869307
1985,1933085
1986,1843985
1987,1767727
1988,1937155
1989,1873817
1990,1771780
1991,1939486
1992,1822193
1993,1951366
1994,1926883
1995,1757794
1996,1571019
1997,1587790
1998,1473100
1999,1339286
2000,1419579
2001,1498561
2002,1389244
2003,1163950
2004,1261000
2005,1094912
2006,1076150
2007,1107227
2008,1075878
2009,1120981
2010,1253386
2011,1209883
2012,1210200
2013,1136505
2014,1255321
2015,1321873
2016,1437341
2017,1458874
