Year,Visitors
1934,50000
1935,18424
1936,14618
1937,320240
1938,346069
1939,327504
1940,203987
1941,232681
1942,93526
1943,55689
1944,55735
1945,98225
1946,255340
1947,265184
1948,293540
1949,328946
1950,350410
1951,342352
1952,342479
1953,443535
1954,481000
1955,505900
1956,644300
1957,634000
1958,211600
1959,225400
1960,803800
1961,927400
1962,803200
1963,745700
1964,471000
1965,382700
1966,443200
1967,501300
1968,536700
1969,587600
1970,616400
1971,608900
1972,549988
1973,552300
1974,554800
1975,345500
1976,373300
1977,230600
1978,332088
1979,318934
1980,299615
1981,322238
1982,260177
1983,272092
1984,275345
1985,264428
1986,325958
1987,336129
1988,361575
1989,338946
1990,337191
1991,400983
1992,407986
1993,341220
1994,363441
1995,330432
1996,318936
1997,345310
1998,329067
1999,357532
2000,261472
2001,356787
2002,371118
2003,391346
2004,311149
2005,315296
2006,335657
2007,368742
2008,357340
2009,404134
2010,317046
2011,387816
2012,587620
2013,536206
2014,409086
2015,356535
2016,421862
2017,435107
