Year,Visitors
1926,2500
1927,3000
1928,3000
1929,3500
1930,3000
1931,8000
1932,6500
1933,1400
1934,5000
1935,7000
1936,6700
1937,4500
1938,5000
1939,5000
1940,5000
1941,9592
1942,8755
1943,4335
1944,4562
1945,4089
1946,2599
1947,2679
1948,9342
1949,6549
1950,6681
1951,7011
1952,4794
1953,10883
1954,11100
1955,9400
1956,10400
1957,11300
1958,12800
1959,15700
1960,15500
1961,15600
1962,13600
1963,18800
1964,21500
1965,25800
1966,38600
1967,44800
1968,23800
1969,39500
1970,61900
1971,41500
1972,36615
1973,46100
1974,60900
1975,73500
1976,77900
1977,83200
1978,82391
1979,69189
1980,72743
1981,86984
1982,87316
1983,84830
1984,108046
1985,116946
1986,110580
1987,95060
1988,101020
1989,102503
1990,123693
1991,136110
1992,142467
1993,118843
1994,133010
1995,259365
1996,371210
1997,269606
1998,159965
1999,197809
2000,194053
2001,211984
2002,295094
2003,251036
2004,297139
2005,291610
2006,331393
2007,304799
2008,241407
2009,246866
2010,189176
2011,186864
2012,195157
2013,161157
2014,157297
2015,185150
2016,217141
2017,194880
