Year,Visitors
1976,696600
1977,838000
1978,759091
1979,733463
1980,689274
1981,759014
1982,664945
1983,658208
1984,853186
1985,897512
1986,634435
1987,1222811
1988,1317530
1989,1250416
1990,1216870
1991,1246333
1992,1237181
1993,1182843
1994,1159676
1995,1151957
1996,1091005
1997,1157616
1998,1298205
1999,1364834
2000,1195084
2001,1127107
2002,1170873
2003,1153962
2004,1114615
2005,1222313
2006,1213026
2007,1134314
2008,1008135
2009,1165836
2010,1280932
2011,1348304
2012,1531560
2013,1340007
2014,1395401
2015,1535633
2016,1683553
2017,1678126
