Year,Visitors
1934,190627
1935,252609
1936,281113
1937,319042
1938,248999
1939,428081
1940,395633
1941,452143
1942,296606
1943,325411
1944,416997
1945,506842
1946,554628
1947,553654
1948,528558
1949,503185
1950,515498
1951,601134
1952,625045
1953,714345
1954,797400
1955,739400
1956,796100
1957,850300
1958,777300
1959,767200
1960,769000
1961,763500
1962,863800
1963,848000
1964,1026500
1965,1064500
1966,1036300
1967,1071500
1968,1105300
1969,1140100
1970,1104900
1971,1077900
1972,1089971
1973,1125300
1974,1120200
1975,1145200
1976,1473500
1977,1394100
1978,1507936
1979,1661432
1980,1771066
1981,1885441
1982,1784297
1983,1598829
1984,637180
1985,190172
1986,1923692
1987,3092686
1988,2833424
1989,2655797
1990,3072185
1991,4343017
1992,4157904
1993,4112003
1994,4252823
1995,4244725
1996,4494076
1997,4738388
1998,5200633
1999,5370015
2000,5509706
2001,4317998
2002,3408560
2003,3231247
2004,3618053
2005,4235595
2006,3263585
2007,3380296
2008,3555244
2009,3829483
2010,3833288
2011,3749982
2012,3029443
2013,1883544
2014,4198815
2015,4279020
2016,4501547
2017,4441988
