Year,Visitors
1934,1614
1935,5413
1936,2299
1937,4905
1938,4387
1939,5104
1940,1389
1941,6436
1942,3872
1943,5301
1944,12850
1945,21583
1946,35155
1947,6720
1948,3575
1949,7800
1950,8600
1951,16569
1952,14165
1953,16600
1954,20400
1955,19400
1956,22400
1957,21100
1958,22000
1959,36100
1960,33700
1961,46500
1962,46700
1963,33100
1964,60300
1965,59000
1966,71900
1967,81100
1968,107500
1969,130900
1970,119400
1971,117200
1972,147753
1973,122900
1974,138900
1975,119700
1976,127300
1977,138300
1978,128430
1979,122049
1980,108157
1981,103622
1982,140772
1983,138605
1984,123698
1985,196299
1986,210335
1987,151748
1988,198213
1989,189904
1990,192400
1991,222583
1992,243813
1993,283283
1994,203956
1995,258269
1996,255888
1997,165026
1998,187647
1999,191559
2000,186212
2001,192084
2002,187941
2003,201576
2004,206638
2005,206425
2006,201016
2007,196061
2008,198918
2009,189952
2010,187559
2011,187208
2012,260537
2013,258242
2014,272499
2015,264925
2016,346213
2017,230562
