Year,Visitors
1934,2500
1935,5688
1936,4853
1937,10000
1938,6922
1939,7762
1940,11888
1941,13145
1942,6228
1943,2606
1944,2638
1945,3317
1946,11484
1947,16385
1948,25746
1949,31159
1950,23473
1951,25185
1952,29485
1953,35660
1954,38600
1955,33300
1956,68400
1957,68600
1958,63200
1959,82200
1960,80500
1961,97600
1962,112000
1963,145400
1964,139700
1965,156700
1966,161500
1967,186700
1968,160400
1969,232900
1970,254600
1971,237700
1972,268832
1973,228700
1974,193300
1975,236500
1976,288000
1977,323800
1978,329991
1979,308723
1980,312079
1981,353815
1982,348633
1983,375136
1984,409112
1985,412501
1986,426454
1987,449423
1988,515084
1989,499265
1990,502450
1991,520487
1992,597942
1993,514943
1994,522963
1995,488911
1996,198349
1997,187734
1998,175805
1999,183198
2000,167988
2001,159523
2002,150664
2003,159073
2004,126911
2005,229913
2006,221406
2007,231855
2008,209399
2009,187397
2010,158819
2011,185265
2012,177793
2013,184864
2014,176723
2015,182203
2016,60233
2017,119454
