Year,Visitors
1964,6700
1965,9200
1966,8500
1967,13400
1968,12800
1969,11100
1970,11000
1971,7100
1972,8296
1973,11300
1974,12400
1975,9000
1976,13900
1977,11700
1978,12698
1979,13237
1980,14876
1981,13019
1982,12563
1983,13163
1984,16381
1985,17511
1986,16408
1987,17273
1988,15817
1989,11256
1990,11255
1991,13237
1992,17629
1993,18225
1994,18876
1995,16995
1996,26895
1997,27613
1998,23459
1999,23495
2000,19837
2001,11198
2002,9376
2003,10175
2004,11082
2005,11158
2006,10713
2007,13098
2008,18590
2009,14390
2010,15029
2011,6537
2012,17930
2013,18676
2014,21065
2015,6685
2016,6582
2017,24884
