Year,Visitors
1972,30646
1973,26000
1974,17000
1975,17800
1976,21600
1977,16600
1978,17038
1979,15888
1980,15110
1981,16209
1982,14975
1983,16068
1984,15468
1985,13150
1986,21077
1987,33474
1988,41598
1989,44470
1990,38527
1991,26869
1992,23801
1993,35724
1994,40879
1995,45333
1996,8300
1997,10323
1998,12578
1999,13315
2000,15813
2001,20684
2002,15634
2003,15920
2004,13898
2005,13032
2006,13218
2007,14147
2008,834
2009,11735
2010,17491
2011,17107
2012,18875
2013,19198
2014,22025
2015,24896
2016,29199
2017,28585
