Year,Visitors
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,26773
1949,82810
1950,71447
1951,81590
1952,131773
1953,120804
1954,133600
1955,125100
1956,154700
1957,129100
1958,163500
1959,182300
1960,223200
1961,235600
1962,245700
1963,237500
1964,261500
1965,233600
1966,500300
1967,555800
1968,562400
1969,658700
1970,680000
1971,707200
1972,998849
1973,849700
1974,698600
1975,800900
1976,937600
1977,828400
1978,825985
1979,591646
1980,595734
1981,702873
1982,677014
1983,415118
1984,361139
1985,377152
1986,390553
1987,424846
1988,413527
1989,459171
1990,460718
1991,468926
1992,475937
1993,475160
1994,505349
1995,460699
1996,436081
1997,393265
1998,448286
1999,431311
2000,431813
2001,446609
2002,471551
2003,490295
2004,474589
2005,493198
2006,435359
2007,456588
2008,516804
2009,586928
2010,623748
2011,563407
2012,640555
2013,545090
2014,559580
2015,580033
2016,753880
2017,708003
