Year,Visitors
1934,5074
1935,6095
1936,9766
1937,10957
1938,12808
1939,12060
1940,12021
1941,10595
1942,7967
1943,17667
1944,19565
1945,27213
1946,56919
1947,53128
1948,60575
1949,61411
1950,65355
1951,66291
1952,68532
1953,70638
1954,72000
1955,72400
1956,76700
1957,78900
1958,89400
1959,98200
1960,110100
1961,117900
1962,133500
1963,165700
1964,165200
1965,165500
1966,193600
1967,207200
1968,221400
1969,192800
1970,166500
1971,111400
1972,194525
1973,174600
1974,226600
1975,65500
1976,76500
1977,102900
1978,118644
1979,125080
1980,107041
1981,104497
1982,104630
1983,98475
1984,119688
1985,128622
1986,124410
1987,137279
1988,138694
1989,126876
1990,114247
1991,104745
1992,120374
1993,90803
1994,77528
1995,79641
1996,97250
1997,112777
1998,119074
1999,122778
2000,115115
2001,126270
2002,114736
2003,106030
2004,107170
2005,104517
2006,110840
2007,114737
2008,123682
2009,138571
2010,120241
2011,96965
2012,118764
2013,91269
2014,95679
2015,104023
2016,91261
2017,100740
