Year,Visitors
1934,7005
1935,5350
1936,5908
1937,5368
1938,4985
1939,4432
1940,5250
1941,10128
1942,4603
1943,2560
1944,3193
1945,4885
1946,12901
1947,15730
1948,16990
1949,17859
1950,18039
1951,19508
1952,28252
1953,38438
1954,29700
1955,29800
1956,36600
1957,45900
1958,41000
1959,39300
1960,46100
1961,53600
1962,56200
1963,68400
1964,70400
1965,54100
1966,43600
1967,37800
1968,44600
1969,48100
1970,53000
1971,53700
1972,52361
1973,61300
1974,49300
1975,55900
1976,71100
1977,69400
1978,71133
1979,69847
1980,60328
1981,70528
1982,68844
1983,70039
1984,69665
1985,73606
1986,82784
1987,80906
1988,78382
1989,61106
1990,45536
1991,62639
1992,60375
1993,70161
1994,69083
1995,70936
1996,71970
1997,79402
1998,78822
1999,74006
2000,76059
2001,80006
2002,57328
2003,59216
2004,63217
2005,75140
2006,63733
2007,56174
2008,63553
2009,60534
2010,60497
2011,53426
2012,51881
2013,39632
2014,36360
2015,37523
2016,38048
2017,40898
