Year,Visitors
1920,4300
1921,5000
1922,5100
1923,6000
1924,8800
1925,10500
1926,13683
1927,16761
1928,17341
1929,18250
1930,15603
1931,12036
1932,13758
1933,8869
1934,11238
1935,13081
1936,14119
1937,18472
1938,15289
1939,18390
1940,7287
1941,9185
1942,6368
1943,4512
1944,5425
1945,11560
1946,19176
1947,22930
1948,26747
1949,26502
1950,30540
1951,42283
1952,44262
1953,45884
1954,41800
1955,47200
1956,50700
1957,56400
1958,58100
1959,59800
1960,53800
1961,56300
1962,55200
1963,54400
1964,55600
1965,56100
1966,50500
1967,49500
1968,63000
1969,60000
1970,63700
1971,68700
1972,68380
1973,78200
1974,71000
1975,78700
1976,80300
1977,74000
1978,76558
1979,59013
1980,54996
1981,59422
1982,58290
1983,57922
1984,58260
1985,58022
1986,60117
1987,63327
1988,60311
1989,61912
1990,63945
1991,58269
1992,52951
1993,53363
1994,66097
1995,57711
1996,62206
1997,58713
1998,58853
1999,56189
2000,53706
2001,49570
2002,48438
2003,52393
2004,48502
2005,44022
2006,45015
2007,45484
2008,45079
2009,40637
2010,39866
2011,33740
2012,35158
2013,31433
2014,38017
2015,42146
2016,43829
2017,46308
