Year,Visitors
1940,6125
1941,9351
1942,5553
1943,3020
1944,3019
1945,5642
1946,10854
1947,14331
1948,18054
1949,19594
1950,20974
1951,22314
1952,25492
1953,29682
1954,25000
1955,24600
1956,30400
1957,36100
1958,32000
1959,34900
1960,34800
1961,34100
1962,34600
1963,38600
1964,45400
1965,48600
1966,67100
1967,68900
1968,79600
1969,89900
1970,117300
1971,104900
1972,88741
1973,84900
1974,76900
1975,84000
1976,92700
1977,81500
1978,77502
1979,68733
1980,73804
1981,77886
1982,79566
1983,80541
1984,83668
1985,90934
1986,97537
1987,96444
1988,108423
1989,113344
1990,118386
1991,136092
1992,138684
1993,109951
1994,116814
1995,118369
1996,115411
1997,131419
1998,125437
1999,124347
2000,113525
2001,116323
2002,112167
2003,115216
2004,114486
2005,108262
2006,115213
2007,107796
2008,102811
2009,106250
2010,103274
2011,101104
2012,97388
2013,85746
2014,74903
2015,95065
2016,104604
2017,109388
