Year,Visitors
1978,3139716
1979,3107420
1980,3219806
1981,3330287
1982,3410490
1983,3448694
1984,3957742
1985,4177029
1986,4225618
1987,4348196
1988,4202511
1989,4700074
1990,1659425
1991,1687247
1992,1772542
1993,1831429
1994,1805069
1995,1925679
1996,1876525
1997,1901406
1998,1784520
1999,1308986
2000,1350434
2001,1230025
2002,1158423
2003,1132976
2004,1088271
2005,1293001
2006,1340679
2007,1298161
2008,1275871
2009,1449228
2010,1617511
2011,1303046
2012,1442750
2013,1962889
2014,1990881
2015,2143965
2016,2428724
2017,2159592
