Year,Visitors
1941,15274
1942,13077
1943,14554
1944,14830
1945,18727
1946,49504
1947,61427
1948,68468
1949,70629
1950,94602
1951,105238
1952,119370
1953,119288
1954,114800
1955,102100
1956,106000
1957,118800
1958,119900
1959,116200
1960,138500
1961,132900
1962,163300
1963,172200
1964,204400
1965,233800
1966,278900
1967,271000
1968,277200
1969,264300
1970,276400
1971,295500
1972,269224
1973,247100
1974,250500
1975,267200
1976,322300
1977,280400
1978,288972
1979,335275
1980,377751
1981,427699
1982,368936
1983,420104
1984,383092
1985,324128
1986,395597
1987,411391
1988,432718
1989,573188
1990,723521
1991,434754
1992,392702
1993,452936
1994,329531
1995,354937
1996,368899
1997,382417
1998,383038
1999,313863
2000,410575
2001,396656
2002,403016
2003,359982
2004,405264
2005,372517
2006,391899
2007,398125
2008,360334
2009,380460
2010,390525
2011,367680
2012,423107
2013,372569
2014,398447
2015,431961
2016,387856
2017,360436
