Year,Visitors
1934,216000
1935,188603
1936,237846
1937,285704
1938,317120
1939,290227
1940,193600
1941,214848
1942,36088
1943,8461
1944,9380
1945,10676
1946,19372
1947,33233
1948,28749
1949,36789
1950,56619
1951,147955
1952,203894
1953,264311
1954,258300
1955,332200
1956,302900
1957,340900
1958,367800
1959,445500
1960,819500
1961,954800
1962,933700
1963,923900
1964,970800
1965,935300
1966,798600
1967,905300
1968,1108200
1969,805100
1970,660900
1971,719500
1972,534135
1973,666300
1974,576600
1975,512900
1976,831200
1977,898600
1978,888760
1979,633951
1980,834252
1981,689442
1982,614788
1983,653835
1984,1112881
1985,899674
1986,1066054
1987,869149
1988,675690
1989,571862
1990,530733
1991,864799
1992,910493
1993,1010001
1994,801381
1995,896019
1996,968615
1997,894000
1998,1005918
1999,1021860
2000,934226
2001,992284
2002,1023370
2003,901672
2004,958081
2005,703484
2006,676605
2007,699314
2008,555109
2009,584105
2010,581459
2011,796035
2012,573262
2013,573838
2014,550874
2015,532444
2016,508914
2017,475074
