Year,Visitors
1976,121200
1977,140300
1978,255426
1979,195277
1980,266935
1981,257490
1982,143724
1983,146454
1984,154723
1985,183984
1986,172137
1987,201727
1988,223735
1989,209626
1990,223554
1991,221857
1992,227498
1993,228143
1994,224181
1995,210938
1996,246588
1997,223418
1998,231958
1999,228898
2000,227371
2001,243374
2002,238227
2003,234231
2004,249041
2005,234577
2006,231875
2007,220650
2008,221585
2009,222429
2010,253891
2011,177184
2012,214841
2013,233390
2014,239160
2015,238313
2016,241912
2017,237250
