Year,Visitors
1934,10000
1935,11328
1936,10962
1937,10772
1938,13526
1939,11050
1940,12258
1941,12976
1942,8330
1943,4420
1944,4531
1945,9743
1946,19446
1947,19082
1948,23593
1949,21449
1950,24483
1951,28293
1952,31551
1953,38090
1954,29100
1955,33600
1956,38900
1957,61300
1958,58800
1959,65600
1960,66300
1961,73800
1962,76500
1963,80000
1964,79400
1965,83100
1966,80600
1967,69700
1968,69700
1969,70500
1970,69100
1971,68000
1972,71415
1973,64300
1974,58200
1975,70100
1976,76700
1977,75200
1978,78908
1979,69729
1980,75887
1981,83098
1982,86517
1983,88376
1984,93628
1985,90077
1986,115754
1987,109001
1988,122465
1989,135129
1990,134429
1991,157146
1992,157987
1993,165223
1994,162295
1995,149082
1996,153287
1997,129807
1998,115342
1999,122064
2000,112649
2001,102839
2002,106962
2003,111465
2004,126931
2005,128275
2006,120820
2007,126187
2008,101833
2009,128299
2010,126552
2011,125003
2012,110748
2013,125267
2014,135230
2015,153322
2016,152444
2017,165134
