Year,Visitors
1936,857441
1937,998686
1938,832439
1939,927543
1940,959624
1941,965689
1942,499734
1943,472004
1944,550991
1945,608667
1946,846249
1947,794813
1948,805231
1949,867327
1950,906661
1951,962000
1952,985391
1953,1022269
1954,1010400
1955,1039900
1956,1013400
1957,1143100
1958,1031500
1959,1186000
1960,1392900
1961,1592300
1962,1758300
1963,1750200
1964,1893600
1965,1986100
1966,2059300
1967,1905200
1968,1607800
1969,1658500
1970,1541600
1971,1518500
1972,1613482
1973,1446500
1974,1436200
1975,1064500
1976,1385100
1977,1230900
1978,1451336
1979,1304790
1980,1305760
1981,1359061
1982,1292284
1983,1212736
1984,1342093
1985,1229062
1986,1271214
1987,1300983
1988,1218031
1989,1136662
1990,1245479
1991,1168736
1992,1165160
1993,1080030
1994,1000278
1995,943098
1996,707498
1997,841218
1998,340190
1999,553420
2000,185085
2001,0
2002,454768
2003,529985
2004,378416
2005,467550
2006,586603
2007,591081
2008,671031
2009,676002
2010,628665
2011,430153
2012,0
2013,0
2014,423170
2015,493550
2016,252677
2017,0
