Year,Visitors
1954,826300
1955,696600
1956,870100
1957,963500
1958,913300
1959,921600
1960,809600
1961,1322300
1962,1561700
1963,1520200
1964,1840100
1965,1673100
1966,1548300
1967,1733900
1968,1154900
1969,1521700
1970,1388600
1971,1391300
1972,1412753
1973,1219000
1974,1349600
1975,1492800
1976,1573500
1977,1304300
1978,1333170
1979,1313017
1980,1318583
1981,1132992
1982,1076713
1983,1169085
1984,1134625
1985,1259928
1986,1148290
1987,1077561
1988,1089967
1989,1060548
1990,1090446
1991,978617
1992,1144540
1993,1161674
1994,1228097
1995,1120926
1996,1179458
1997,1227392
1998,1027479
1999,1015395
2000,1175714
2001,856042
2002,178092
2003,182542
2004,357250
2005,455643
2006,481951
2007,491229
2008,519011
2009,616890
2010,922335
2011,570057
2012,656949
2013,231627
2014,569391
2015,526263
2016,611207
2017,439725
