Year,Visitors
1965,613000
1966,857100
1967,835100
1968,872000
1969,1044200
1970,1164400
1971,1150900
1972,929558
1973,929200
1974,789400
1975,1283400
1976,1629900
1977,1613800
1978,1395001
1979,1162390
1980,1149628
1981,1217135
1982,1377648
1983,1082532
1984,1299089
1985,1246433
1986,1728722
1987,1742251
1988,1352456
1989,1550783
1990,2002858
1991,1537073
1992,785975
1993,446180
1994,950586
1995,914470
1996,844151
1997,697435
1998,752478
1999,716526
2000,702883
2001,695018
2002,696590
2003,750951
2004,745185
2005,740275
2006,749979
2007,782014
2008,676281
2009,853812
2010,788065
2011,761710
2012,814374
2013,776025
2014,851901
2015,843845
2016,875565
2017,832063
