Year,Visitors
1941,7251
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,1353
1949,10139
1950,8913
1951,13459
1952,20763
1953,22272
1954,21800
1955,21100
1956,29500
1957,34100
1958,36700
1959,41100
1960,40400
1961,47600
1962,55200
1963,79100
1964,95600
1965,93300
1966,98300
1967,88400
1968,99300
1969,105500
1970,89000
1971,103800
1972,90831
1973,103200
1974,124400
1975,112500
1976,151800
1977,119500
1978,104975
1979,118136
1980,97504
1981,97085
1982,97811
1983,108114
1984,105172
1985,104050
1986,109855
1987,115495
1988,97684
1989,83884
1990,85287
1991,83876
1992,73198
1993,76900
1994,70635
1995,79059
1996,77338
1997,77601
1998,77967
1999,74954
2000,67035
2001,64679
2002,61293
2003,56009
2004,56169
2005,55826
2006,52849
2007,49337
2008,53356
2009,52605
2010,58521
2011,57611
2012,60785
2013,57686
2014,58499
2015,39525
2016,50148
2017,47757
