Year,Visitors
1933,12000
1934,33900
1935,33912
1936,89833
1937,91532
1938,110805
1939,58955
1940,54498
1941,79173
1942,52526
1943,35693
1944,35446
1945,54470
1946,86073
1947,97940
1948,125063
1949,153563
1950,180607
1951,193975
1952,228158
1953,216947
1954,226600
1955,276800
1956,282600
1957,304300
1958,319800
1959,380200
1960,378500
1961,380800
1962,371200
1963,413500
1964,456800
1965,523900
1966,513000
1967,516300
1968,614800
1969,488800
1970,515100
1971,568000
1972,579456
1973,654800
1974,553900
1975,564100
1976,575200
1977,622300
1978,580244
1979,580814
1980,511476
1981,556494
1982,543581
1983,492902
1984,542930
1985,486754
1986,666879
1987,567613
1988,556185
1989,568530
1990,582487
1991,588543
1992,590371
1993,611252
1994,583061
1995,604796
1996,616699
1997,629507
1998,592957
1999,553948
2000,515229
2001,518958
2002,498964
2003,492008
2004,448185
2005,450447
2006,440927
2007,437042
2008,438511
2009,471167
2010,470921
2011,428924
2012,447385
2013,490544
2014,503660
2015,497506
2016,555793
2017,612468
