Year,Visitors
1904,2900
1905,2438
1906,2787
1907,2751
1908,3171
1909,3216
1910,3387
1911,3887
1912,3199
1913,3988
1914,3592
1915,2817
1916,9000
1917,16742
1918,36000
1919,25000
1920,38000
1921,28336
1922,31016
1923,41505
1924,52166
1925,69267
1926,85466
1927,81023
1928,100309
1929,108943
1930,88000
1931,85000
1932,12539
1933,10460
1934,15205
1935,20207
1936,16605
1937,19075
1938,19132
1939,16202
1940,18028
1941,21095
1942,10650
1943,2989
1944,3784
1945,10298
1946,84800
1947,102227
1948,108331
1949,118268
1950,79344
1951,130337
1952,352577
1953,305875
1954,276700
1955,267900
1956,279200
1957,284900
1958,279400
1959,265600
1960,864600
1961,700200
1962,818600
1963,931100
1964,894300
1965,885600
1966,928500
1967,882100
1968,962200
1969,896600
1970,997100
1971,550100
1972,505000
1973,479900
1974,428700
1975,324500
1976,458100
1977,532700
1978,539053
1979,457443
1980,473061
1981,503424
1982,467392
1983,503739
1984,536022
1985,477585
1986,483334
1987,563720
1988,578016
1989,561758
1990,586464
1991,597057
1992,660296
1993,537075
1994,871061
1995,805688
1996,781171
1997,832033
1998,849974
1999,761717
2000,668507
2001,650357
2002,810298
2003,874167
2004,593877
2005,612478
2006,591049
2007,603158
2008,573433
2009,587868
2010,577141
2011,538394
2012,529083
2013,516142
2014,547022
2015,612198
2016,617377
2017,619924
