Year,Visitors
1967,41400
1968,41600
1969,47300
1970,44300
1971,40000
1972,38700
1973,33900
1974,39400
1975,41700
1976,53300
1977,42900
1978,72600
1979,80559
1980,75973
1981,80047
1982,78374
1983,93573
1984,124011
1985,176821
1986,270384
1987,278170
1988,351658
1989,262687
1990,156676
1991,146947
1992,174626
1993,187833
1994,205093
1995,145809
1996,259201
1997,175688
1998,176036
1999,177721
2000,196502
2001,223531
2002,203356
2003,200081
2004,162798
2005,207199
2006,141677
2007,121878
2008,120670
2009,156230
2010,185200
2011,192865
2012,167205
2013,157309
2014,161058
2015,161004
2016,183698
2017,206346
