Year,Visitors
1971,282200
1972,430381
1973,482600
1974,509700
1975,537300
1976,559600
1977,499200
1978,568044
1979,589016
1980,619794
1981,587926
1982,339034
1983,258430
1984,304738
1985,458395
1986,539294
1987,545667
1988,577050
1989,565823
1990,560284
1991,597469
1992,680862
1993,620644
1994,612599
1995,584988
1996,591928
1997,644852
1998,523354
1999,549491
2000,523843
2001,539999
2002,566654
2003,554646
2004,541597
2005,554386
2006,490547
2007,503016
2008,487197
2009,466752
2010,520397
2011,425177
2012,426996
2013,441166
2014,388283
2015,407351
2016,437513
2017,424364
