Year,Visitors
1934,17010
1935,28472
1936,48690
1937,82188
1938,80911
1939,70071
1940,54729
1941,86025
1942,11319
1943,11054
1944,8592
1945,15439
1946,49512
1947,77739
1948,72984
1949,86327
1950,111116
1951,113324
1952,153072
1953,184328
1954,184500
1955,184600
1956,305500
1957,327900
1958,241100
1959,197900
1960,237600
1961,257100
1962,223600
1963,249700
1964,296800
1965,302700
1966,370900
1967,340000
1968,310400
1969,324900
1970,489400
1971,392300
1972,423725
1973,413600
1974,472700
1975,485200
1976,505000
1977,535000
1978,481140
1979,396322
1980,428809
1981,429618
1982,415360
1983,484289
1984,409493
1985,448677
1986,630779
1987,315957
1988,328617
1989,472894
1990,463461
1991,461494
1992,477643
1993,477362
1994,475755
1995,434671
1996,393721
1997,425132
1998,419210
1999,375681
2000,429472
2001,438548
2002,440737
2003,712181
2004,421341
2005,458948
2006,466144
2007,494331
2008,527721
2009,476291
2010,476200
2011,445455
2012,466816
2013,447796
2014,430517
2015,437184
2016,458776
2017,414244
