Year,Visitors
1925,500
1926,600
1927,450
1928,500
1929,550
1930,684
1931,650
1932,850
1933,1250
1934,1080
1935,1369
1936,2201
1937,2080
1938,2754
1939,3122
1940,3326
1941,4184
1942,1228
1943,566
1944,362
1945,1166
1946,3250
1947,4363
1948,5702
1949,6609
1950,9772
1951,10368
1952,13100
1953,17750
1954,36500
1955,36700
1956,40300
1957,40900
1958,45200
1959,56500
1960,56600
1961,65200
1962,71700
1963,83000
1964,63000
1965,82500
1966,82100
1967,102100
1968,95800
1969,113700
1970,132300
1971,123400
1972,152872
1973,148100
1974,105700
1975,134900
1976,191500
1977,215200
1978,234735
1979,186875
1980,161846
1981,183448
1982,183666
1983,190938
1984,207893
1985,191950
1986,207951
1987,208953
1988,243666
1989,245948
1990,249954
1991,234122
1992,267090
1993,262769
1994,264747
1995,262675
1996,238889
1997,233582
1998,217466
1999,245225
2000,243270
2001,239476
2002,236394
2003,266159
2004,247971
2005,219480
2006,236449
2007,239603
2008,239157
2009,233284
2010,221083
2011,216165
2012,201365
2013,190878
2014,195962
2015,212828
2016,223172
2017,236454
