Year,Visitors
1904,13727
1905,26188
1906,17182
1907,16414
1908,19542
1909,32545
1910,19575
1911,23054
1912,22970
1913,24929
1914,20250
1915,51895
1916,35849
1917,35400
1918,21275
1919,62261
1920,79777
1921,81651
1922,98223
1923,138352
1924,144158
1925,154282
1926,187807
1927,200825
1928,230984
1929,260697
1930,227901
1931,221248
1932,157624
1933,161938
1934,260775
1935,317998
1936,432570
1937,499242
1938,466185
1939,486936
1940,526437
1941,579696
1942,185746
1943,61696
1944,86593
1945,189264
1946,807917
1947,937776
1948,1018279
1949,1131159
1950,1110524
1951,1163894
1952,1350295
1953,1326858
1954,1328900
1955,1368500
1956,1457800
1957,1595900
1958,1442400
1959,1408700
1960,1443300
1961,1524100
1962,1925200
1963,1872500
1964,1929300
1965,2062500
1966,2130300
1967,2210000
1968,2229700
1969,2193700
1970,2297300
1971,2120500
1972,2236888
1973,2061700
1974,1928900
1975,2239500
1976,2519200
1977,2481900
1978,2618380
1979,1892908
1980,2000269
1981,2521831
1982,2368897
1983,2347242
1984,2222027
1985,2226159
1986,2363756
1987,2573194
1988,2182113
1989,2644442
1990,2823572
1991,2920537
1992,3144405
1993,2912193
1994,3046145
1995,3125285
1996,3012171
1997,2889513
1998,3120830
1999,3131381
2000,2838233
2001,2758526
2002,2973677
2003,3019375
2004,2868317
2005,2835651
2006,2870295
2007,3151343
2008,3066580
2009,3295187
2010,3640185
2011,3394326
2012,3447729
2013,3188030
2014,3513484
2015,4097710
2016,4257177
2017,4116524
