Year,Visitors
1906,5414
1907,7102
1908,8850
1909,13182
1910,13619
1911,12530
1912,10884
1913,13735
1914,15145
1915,33452
1916,33390
1917,34510
1918,33527
1919,58362
1920,68906
1921,91513
1922,100506
1923,130046
1924,105894
1925,209166
1926,274209
1927,490430
1928,460619
1929,461257
1930,458566
1931,461855
1932,498289
1933,296088
1934,309431
1935,372317
1936,431192
1937,481492
1938,443325
1939,466552
1940,506781
1941,597863
1942,319816
1943,116682
1944,120494
1945,290569
1946,640483
1947,777622
1948,745899
1949,808372
1950,820953
1951,858405
1952,973971
1953,969225
1954,1008000
1955,984200
1956,1114200
1957,1138700
1958,1139300
1959,1061500
1960,1150400
1961,1227100
1962,1505500
1963,1473400
1964,1547000
1965,1635400
1966,1817100
1967,2238300
1968,2281100
1969,2291300
1970,2277200
1971,2342200
1972,2190301
1973,2254300
1974,2274600
1975,2537400
1976,2682400
1977,2392600
1978,2569268
1979,2350782
1980,2490282
1981,2516893
1982,2415587
1983,2457464
1984,2738467
1985,2831952
1986,2876717
1987,3152275
1988,3216681
1989,3308159
1990,3124939
1991,3423101
1992,3819518
1993,3839645
1994,3962117
1995,3958406
1996,4046207
1997,3669970
1998,3657132
1999,3493607
2000,3400903
2001,3368731
2002,3361867
2003,3378664
2004,3280911
2005,3304144
2006,3242644
2007,3503428
2008,3431514
2009,3737472
2010,3901408
2011,3951393
2012,3853404
2013,3691191
2014,3882642
2015,4150217
2016,5028868
2017,4336890
