Year,Visitors
1919,1814
1920,3692
1921,2937
1922,4109
1923,6408
1924,8400
1925,16817
1926,21964
1927,24303
1928,30016
1929,33383
1930,55297
1931,59186
1932,51650
1933,48763
1934,68801
1935,97280
1936,124393
1937,137404
1938,149075
1939,158063
1940,165029
1941,192805
1942,68797
1943,44089
1944,42243
1945,78280
1946,212280
1947,273953
1948,297571
1949,307881
1950,323402
1951,331079
1952,352921
1953,389445
1954,416800
1955,406800
1956,421200
1957,525100
1958,590700
1959,585000
1960,575800
1961,604700
1962,622100
1963,681100
1964,705200
1965,763600
1966,815200
1967,788400
1968,877100
1969,904300
1970,903600
1971,897000
1972,889417
1973,993800
1974,859300
1975,1055200
1976,1090000
1977,1105900
1978,1193212
1979,1040528
1980,1123846
1981,1288808
1982,1246290
1983,1273030
1984,1377254
1985,1503272
1986,1670503
1987,1777619
1988,1948332
1989,1998856
1990,2102400
1991,2236997
1992,2390626
1993,2392580
1994,2270871
1995,2430162
1996,2498001
1997,2445534
1998,2370048
1999,2449664
2000,2432348
2001,2217779
2002,2592545
2003,2458792
2004,2677342
2005,2586665
2006,2567350
2007,2657281
2008,2690154
2009,2735402
2010,2665972
2011,2825505
2012,2973607
2013,2807387
2014,3189696
2015,3648846
2016,4295127
2017,4504812
