Year,Visitors
1956,1200
1957,2400
1958,2100
1959,2500
1960,4200
1961,3200
1962,4400
1963,6100
1964,12600
1965,13700
1966,21000
1967,26800
1968,42300
1969,30700
1970,28200
1971,25800
1972,30216
1973,25300
1974,33000
1975,49900
1976,52400
1977,63000
1978,70048
1979,90790
1980,104458
1981,57098
1982,99531
1983,100936
1984,80475
1985,133603
1986,196053
1987,125326
1988,128226
1989,128656
1990,101859
1991,110626
1992,124512
1993,113883
1994,118067
1995,117766
1996,111891
1997,108825
1998,107223
1999,104081
2000,98947
2001,112915
2002,110209
2003,107907
2004,109034
2005,106015
2006,100868
2007,101522
2008,105136
2009,114743
2010,117214
2011,119335
2012,126962
2013,118638
2014,109159
2015,116817
2016,115446
2017,96779
